,population,latitude,longitude
121,22,40.11091711,-88.2110566
122,8,40.11093363,-88.2099115
123,23,40.10855538,-88.21101429
124,51,40.10512405,-88.2108637
125,42,40.10375399,-88.21143944
126,2,40.11317047,-88.20781924
127,51,40.10880544,-88.20809221
128,81,40.1065628,-88.20803681
129,69,40.1065804,-88.2067271
130,1,40.10804998,-88.20457978
131,5,40.10804666,-88.2053179
132,34,40.09865862,-88.21313672
133,32,40.09870075,-88.20837504
134,3,40.11179071,-88.31359462
135,0,40.10707049,-88.3194066
136,31,40.08983368,-88.20862262
137,15,40.10891712,-88.20079677
138,22,40.11049756,-88.19865713
139,21,40.10900145,-88.19737504
140,57,40.10668839,-88.19848766
141,81,40.10201247,-88.19785837
142,20,40.11345872,-88.19677617
143,12,40.11272481,-88.19400337
144,5,40.10600503,-88.19534759
145,81,40.10199185,-88.19327528
146,29,40.10286945,-88.19291711
147,1,40.14020032,-88.14104707
148,0,40.14034573,-88.15221414
149,3,40.12241185,-88.13241442
150,0,40.13689058,-88.21691033
151,42,40.14097006,-88.18238833
152,0,40.07681987,-88.24720208
153,0,40.08063401,-88.25007494
154,1,40.10250866,-88.34661779
155,0,40.11159823,-88.31517327
156,2,40.06227743,-88.33981479
157,228,40.09424141,-88.1966707
158,34,40.08885802,-88.19433892
159,0,40.12755953,-88.18835909
160,21,40.13370705,-88.18538509999999
161,9,40.13242985,-88.187826
162,6,40.13171232,-88.18654833
163,36,40.11775174,-88.17968036
164,17,40.11805058,-88.18018229
165,33,40.11570306,-88.1794328
166,35,40.11882266,-88.1693436
167,42,40.11942965,-88.17747948
168,66,40.15250392,-88.25514675
169,6,40.10191769,-88.19042477
170,28,40.09978444,-88.1890343
171,23,40.099400200000005,-88.18713123
172,0,40.12082141,-88.30623895
173,0,40.08702614,-88.19231486
174,51,40.11560613,-88.18093653
175,29,40.11525736,-88.17243949
176,0,40.10268189999999,-88.16242104
177,0,40.08392135,-88.16289729
178,0,40.09874969,-88.32454352
179,0,40.12037917,-88.32108321
180,0,40.11889742,-88.30671127
181,18,40.07492277,-88.26178227
182,22,40.12330512,-88.29597806
183,2,40.09828318,-88.30318674
184,51,40.10709544,-88.29582972
185,38,40.1027838,-88.29480112
186,71,40.10183598,-88.29255262
187,29,40.08886229,-88.19225968
188,36,40.10976647,-88.17445075
189,1,40.06190688,-88.19970604
190,29,40.07473657,-88.20194836
191,34,40.07379046,-88.20207557
192,6,40.06202835,-88.17603118
193,7,40.12138016,-88.15312575
194,3,40.11687828,-88.13411893
195,45,40.11111215,-88.17640641
196,405,40.13803103,-88.27606422
197,50,40.135401,-88.27392321
198,60,40.12987705,-88.27646218
199,39,40.09067551,-88.28580714
200,26,40.13718738,-88.27242163
201,22,40.13377052,-88.26941166
202,68,40.1355024,-88.26866491
203,83,40.13148927,-88.27092976
204,63,40.13090999,-88.2714816
205,35,40.11597279,-88.27585559
206,62,40.1169141,-88.27368001
207,57,40.11595499,-88.27366565
208,55,40.11591001,-88.26879053
209,0,40.09119352,-88.24784651
210,55,40.10706099,-88.29022049999999
211,47,40.07847766,-88.29085359
212,47,40.10202460000001,-88.28838074
213,17,40.07973178,-88.29254173
214,23,40.09395252,-88.28060037
215,61,40.09645276,-88.27730747
216,50,40.09372858,-88.28454653
217,54,40.10717962,-88.27851255
218,93,40.104691100000004,-88.27851846
219,62,40.10191571,-88.27396763
220,67,40.10724165,-88.27222328
221,104,40.07573267,-88.32801962
222,0,40.09091407,-88.21294587
223,2,40.09557981,-88.20246507
224,74,40.10335812,-88.20290922
225,9,40.10789863,-88.20077181
226,11,40.10790963,-88.19966495
227,14,40.10856442,-88.19542779999999
228,0,40.14162778,-88.19082408
229,0,40.11397624,-88.17764135
230,90,40.11538119,-88.16550665
231,40,40.09582382,-88.27920165
232,126,40.08917861,-88.27816209
233,0,40.08759418,-88.27654269
234,31,40.08876722,-88.28046472
235,7,40.09020662,-88.27815744
236,102,40.061050099999996,-88.25245178
237,42,40.09943426,-88.27401941
238,30,40.08867011,-88.26830464
239,76,40.086617100000005,-88.28341064
240,39,40.08427078,-88.27757364
241,87,40.08486378,-88.27234132
242,42,40.06329749,-88.25336340000001
243,71,40.13478377,-88.26673486
244,32,40.12809968,-88.26056255
245,60,40.12758481,-88.26185056
246,0,40.12368879,-88.27400627
247,9,40.11953719,-88.22798106
248,36,40.08292572,-88.26686429
249,42,40.07823803,-88.26914645
250,0,40.07391717,-88.28996863
251,7,40.1025365,-88.30118149
252,16,40.12144979999999,-88.22970037
253,10,40.12240165,-88.22969675
254,47,40.12616731,-88.2663359
